date,realGDP_(qrt),consumerPriceIndex_(mo),consumerSentiment_(mo),retailSales_(mo),fedFundRate_(d)
2002-01-01,3263.869,177.1,93.0,230546,1.520
2002-01-02,3263.869,177.1,93.0,230546,1.920
2002-01-03,3263.869,177.1,93.0,230546,1.720
2002-01-04,3263.869,177.1,93.0,230546,1.610
2002-01-07,3263.869,177.1,93.0,230546,1.610
2002-01-08,3263.869,177.1,93.0,230546,1.610
2002-01-09,3263.869,177.1,93.0,230546,1.740
2002-01-10,3263.869,177.1,93.0,230546,1.810
2002-01-11,3263.869,177.1,93.0,230546,1.710
2002-01-14,3263.869,177.1,93.0,230546,1.780
2002-01-15,3263.869,177.1,93.0,230546,1.750
2002-01-16,3263.869,177.1,93.0,230546,1.690
2002-01-17,3263.869,177.1,93.0,230546,1.680
2002-01-18,3263.869,177.1,93.0,230546,1.710
2002-01-21,3263.869,177.1,93.0,230546,1.710
2002-01-22,3263.869,177.1,93.0,230546,1.840
2002-01-23,3263.869,177.1,93.0,230546,1.810
2002-01-24,3263.869,177.1,93.0,230546,1.800
2002-01-25,3263.869,177.1,93.0,230546,1.780
2002-01-28,3263.869,177.1,93.0,230546,1.790
2002-01-29,3263.869,177.1,93.0,230546,1.780
2002-01-30,3263.869,177.1,93.0,230546,1.780
2002-01-31,3263.869,177.1,93.0,230546,1.850
2002-02-01,3263.869,177.8,90.7,228084,1.770
2002-02-04,3263.869,177.8,90.7,228084,1.740
2002-02-05,3263.869,177.8,90.7,228084,1.640
2002-02-06,3263.869,177.8,90.7,228084,1.660
2002-02-07,3263.869,177.8,90.7,228084,1.740
2002-02-08,3263.869,177.8,90.7,228084,1.690
2002-02-11,3263.869,177.8,90.7,228084,1.760
2002-02-12,3263.869,177.8,90.7,228084,1.720
2002-02-13,3263.869,177.8,90.7,228084,1.750
2002-02-14,3263.869,177.8,90.7,228084,1.810
2002-02-15,3263.869,177.8,90.7,228084,1.730
2002-02-18,3263.869,177.8,90.7,228084,1.730
2002-02-19,3263.869,177.8,90.7,228084,1.770
2002-02-20,3263.869,177.8,90.7,228084,1.760
2002-02-21,3263.869,177.8,90.7,228084,1.770
2002-02-22,3263.869,177.8,90.7,228084,1.710
2002-02-25,3263.869,177.8,90.7,228084,1.800
2002-02-26,3263.869,177.8,90.7,228084,1.770
2002-02-27,3263.869,177.8,90.7,228084,1.760
2002-02-28,3263.869,177.8,90.7,228084,1.830
2002-03-01,3263.869,178.8,95.7,257133,1.780
2002-03-04,3263.869,178.8,95.7,257133,1.680
2002-03-05,3263.869,178.8,95.7,257133,1.630
2002-03-06,3263.869,178.8,95.7,257133,1.710
2002-03-07,3263.869,178.8,95.7,257133,1.770
2002-03-08,3263.869,178.8,95.7,257133,1.690
2002-03-11,3263.869,178.8,95.7,257133,1.750
2002-03-12,3263.869,178.8,95.7,257133,1.680
2002-03-13,3263.869,178.8,95.7,257133,1.730
2002-03-14,3263.869,178.8,95.7,257133,1.790
2002-03-15,3263.869,178.8,95.7,257133,1.800
2002-03-18,3263.869,178.8,95.7,257133,1.710
2002-03-19,3263.869,178.8,95.7,257133,1.670
2002-03-20,3263.869,178.8,95.7,257133,1.780
2002-03-21,3263.869,178.8,95.7,257133,1.740
2002-03-22,3263.869,178.8,95.7,257133,1.680
2002-03-25,3263.869,178.8,95.7,257133,1.750
2002-03-26,3263.869,178.8,95.7,257133,1.710
2002-03-27,3263.869,178.8,95.7,257133,1.690
2002-03-28,3263.869,178.8,95.7,257133,1.770
2002-03-29,3263.869,178.8,95.7,257133,1.740
2002-04-01,3362.508,179.8,93.0,257357,1.880
2002-04-02,3362.508,179.8,93.0,257357,1.740
2002-04-03,3362.508,179.8,93.0,257357,1.810
2002-04-04,3362.508,179.8,93.0,257357,1.740
2002-04-05,3362.508,179.8,93.0,257357,1.700
2002-04-08,3362.508,179.8,93.0,257357,1.720
2002-04-09,3362.508,179.8,93.0,257357,1.680
2002-04-10,3362.508,179.8,93.0,257357,1.730
2002-04-11,3362.508,179.8,93.0,257357,1.830
2002-04-12,3362.508,179.8,93.0,257357,1.790
2002-04-15,3362.508,179.8,93.0,257357,1.840
2002-04-16,3362.508,179.8,93.0,257357,1.680
2002-04-17,3362.508,179.8,93.0,257357,1.730
2002-04-18,3362.508,179.8,93.0,257357,1.710
2002-04-19,3362.508,179.8,93.0,257357,1.670
2002-04-22,3362.508,179.8,93.0,257357,1.730
2002-04-23,3362.508,179.8,93.0,257357,1.710
2002-04-24,3362.508,179.8,93.0,257357,1.760
2002-04-25,3362.508,179.8,93.0,257357,1.820
2002-04-26,3362.508,179.8,93.0,257357,1.790
2002-04-29,3362.508,179.8,93.0,257357,1.810
2002-04-30,3362.508,179.8,93.0,257357,1.820
2002-05-01,3362.508,179.8,96.9,271682,1.880
2002-05-02,3362.508,179.8,96.9,271682,1.790
2002-05-03,3362.508,179.8,96.9,271682,1.730
2002-05-06,3362.508,179.8,96.9,271682,1.750
2002-05-07,3362.508,179.8,96.9,271682,1.720
2002-05-08,3362.508,179.8,96.9,271682,1.710
2002-05-09,3362.508,179.8,96.9,271682,1.740
2002-05-10,3362.508,179.8,96.9,271682,1.740
2002-05-13,3362.508,179.8,96.9,271682,1.750
2002-05-14,3362.508,179.8,96.9,271682,1.690
2002-05-15,3362.508,179.8,96.9,271682,1.840
2002-05-16,3362.508,179.8,96.9,271682,1.760
2002-05-17,3362.508,179.8,96.9,271682,1.700
2002-05-20,3362.508,179.8,96.9,271682,1.720
2002-05-21,3362.508,179.8,96.9,271682,1.680
2002-05-22,3362.508,179.8,96.9,271682,1.730
2002-05-23,3362.508,179.8,96.9,271682,1.760
2002-05-24,3362.508,179.8,96.9,271682,1.750
2002-05-27,3362.508,179.8,96.9,271682,1.750
2002-05-28,3362.508,179.8,96.9,271682,1.880
2002-05-29,3362.508,179.8,96.9,271682,1.790
2002-05-30,3362.508,179.8,96.9,271682,1.800
2002-05-31,3362.508,179.8,96.9,271682,1.790
2002-06-03,3362.508,179.9,92.4,260385,1.830
2002-06-04,3362.508,179.9,92.4,260385,1.730
2002-06-05,3362.508,179.9,92.4,260385,1.700
2002-06-06,3362.508,179.9,92.4,260385,1.750
2002-06-07,3362.508,179.9,92.4,260385,1.730
2002-06-10,3362.508,179.9,92.4,260385,1.760
2002-06-11,3362.508,179.9,92.4,260385,1.720
2002-06-12,3362.508,179.9,92.4,260385,1.750
2002-06-13,3362.508,179.9,92.4,260385,1.760
2002-06-14,3362.508,179.9,92.4,260385,1.750
2002-06-17,3362.508,179.9,92.4,260385,1.820
2002-06-18,3362.508,179.9,92.4,260385,1.710
2002-06-19,3362.508,179.9,92.4,260385,1.690
2002-06-20,3362.508,179.9,92.4,260385,1.750
2002-06-21,3362.508,179.9,92.4,260385,1.740
2002-06-24,3362.508,179.9,92.4,260385,1.770
2002-06-25,3362.508,179.9,92.4,260385,1.750
2002-06-26,3362.508,179.9,92.4,260385,1.780
2002-06-27,3362.508,179.9,92.4,260385,1.810
2002-06-28,3362.508,179.9,92.4,260385,1.730
2002-07-01,3401.82,180.1,88.1,266795,1.830
2002-07-02,3401.82,180.1,88.1,266795,1.720
2002-07-03,3401.82,180.1,88.1,266795,1.710
2002-07-04,3401.82,180.1,88.1,266795,1.710
2002-07-05,3401.82,180.1,88.1,266795,1.720
2002-07-08,3401.82,180.1,88.1,266795,1.750
2002-07-09,3401.82,180.1,88.1,266795,1.720
2002-07-10,3401.82,180.1,88.1,266795,1.740
2002-07-11,3401.82,180.1,88.1,266795,1.760
2002-07-12,3401.82,180.1,88.1,266795,1.710
2002-07-15,3401.82,180.1,88.1,266795,1.830
2002-07-16,3401.82,180.1,88.1,266795,1.720
2002-07-17,3401.82,180.1,88.1,266795,1.710
2002-07-18,3401.82,180.1,88.1,266795,1.740
2002-07-19,3401.82,180.1,88.1,266795,1.720
2002-07-22,3401.82,180.1,88.1,266795,1.770
2002-07-23,3401.82,180.1,88.1,266795,1.730
